Indicateur,prudent An1,prudent An2,prudent An3,prudent An4,prudent An5,base An1,base An2,base An3,base An4,base An5,optimiste An1,optimiste An2,optimiste An3,optimiste An4,optimiste An5
CA total,20433278,41278330,62531480,83275497,104685355,48169875,104294750,176768575,259022902,352142882,106145600,259804280,494869724,797871374,1167713119
EBITDA,11285879,25262157,37571895,47634283,55522835,33740066,73440222,121422543,169880963,227291319,77324332,183053757,344917428,550290379,796847057
Resultat net,7900115,17683510,26300326,33343998,38865984,23618046,51408156,84995780,118916674,159103923,54127032,128137630,241442200,385203265,557792940
Tresorerie fin periode,13900115,31583625,57883952,91227950,130093934,32618046,84026202,169021982,287938657,447042580,68127032,196264662,437706862,822910127,1380703067
